occupation_soc_code,employment_1,hourly_mean_wage,annual_mean_wage_2,hourly_median_wage,annual_median_wage_2,employment_per_1_000_jobs,soc_code,occupation,median_wage_bin,median_wage_bin_label
Chief Executives(111011),140,145.25,302110,114.9,238990,1.225,111011,Chief Executives,5,88050-238990
General and Operations Managers(111021),2110,60.61,126060,50.49,105030,18.76,111021,General and Operations Managers,5,88050-238990
Marketing Managers(112021),170,76.35,158810,74.53,155010,1.512,112021,Marketing Managers,5,88050-238990
Sales Managers(112022),210,73.93,153780,63.16,131380,1.826,112022,Sales Managers,5,88050-238990
Public Relations Managers(112032),120,69.91,145410,63.66,132410,1.036,112032,Public Relations Managers,5,88050-238990
Fundraising Managers(112033),70,68.11,141660,61.35,127620,0.652,112033,Fundraising Managers,5,88050-238990
Administrative Services Managers(113012),180,54.08,112480,48.95,101810,1.628,113012,Administrative Services Managers,5,88050-238990
Facilities Managers(113013),90,51.26,106620,50.78,105610,0.773,113013,Facilities Managers,5,88050-238990
Computer and Information Systems Managers(113021),420,77.69,161600,74.67,155320,3.733,113021,Computer and Information Systems Managers,5,88050-238990
Financial Managers(113031),430,82.27,171120,73.45,152780,3.853,113031,Financial Managers,5,88050-238990
Industrial Production Managers(113051),40,54.66,113700,50.49,105020,0.371,113051,Industrial Production Managers,5,88050-238990
Purchasing Managers(113061),70,70.07,145740,64.37,133890,0.608,113061,Purchasing Managers,5,88050-238990
"Transportation, Storage, and Distribution Managers(113071)",60,49.86,103710,50.04,104080,0.496,113071,"Transportation, Storage, and Distribution Managers",5,88050-238990
Human Resources Managers(113121),150,72.55,150900,66.16,137610,1.361,113121,Human Resources Managers,5,88050-238990
Training and Development Managers(113131),50,60,124800,57.63,119870,0.409,113131,Training and Development Managers,5,88050-238990
Construction Managers(119021),240,54.52,113410,48.79,101490,2.146,119021,Construction Managers,5,88050-238990
"Education Administrators, Kindergarten through Secondary(119032)",270,NA,100220,NA,100280,2.415,119032,"Education Administrators, Kindergarten through Secondary",5,88050-238990
"Education Administrators, All Other(119039)",90,54.25,112840,39.01,81130,0.761,119039,"Education Administrators, All Other",4,60640-86950
Architectural and Engineering Managers(119041),90,72.82,151460,69.01,143540,0.788,119041,Architectural and Engineering Managers,5,88050-238990
Food Service Managers(119051),160,33.21,69070,30.17,62750,1.386,119051,Food Service Managers,4,60640-86950
Lodging Managers(119081),40,40.64,84540,36.19,75270,0.353,119081,Lodging Managers,4,60640-86950
Medical and Health Services Managers(119111),350,65.13,135460,60.05,124910,3.133,119111,Medical and Health Services Managers,5,88050-238990
Natural Sciences Managers(119121),70,57.32,119220,49.48,102910,0.609,119121,Natural Sciences Managers,5,88050-238990
"Property, Real Estate, and Community Association Managers(119141)",160,41.65,86630,30.44,63320,1.377,119141,"Property, Real Estate, and Community Association Managers",4,60640-86950
Social and Community Service Managers(119151),110,48.06,99960,43.61,90700,0.986,119151,Social and Community Service Managers,5,88050-238990
"Managers, All Other(119199)",390,65.28,135770,64.09,133300,3.452,119199,"Managers, All Other",5,88050-238990
Buyers and Purchasing Agents(131020),360,36.99,76930,35.81,74480,3.227,131020,Buyers and Purchasing Agents,4,60640-86950
"Claims Adjusters, Examiners, and Investigators(131031)",90,33.47,69610,28.66,59620,0.756,131031,"Claims Adjusters, Examiners, and Investigators",3,48340-60600
Compliance Officers(131041),260,35.18,73170,31.4,65320,2.265,131041,Compliance Officers,4,60640-86950
Cost Estimators(131051),160,35.61,74080,31.49,65500,1.413,131051,Cost Estimators,4,60640-86950
Human Resources Specialists(131071),650,37.72,78450,35.09,72990,5.741,131071,Human Resources Specialists,4,60640-86950
Labor Relations Specialists(131075),40,39.83,82840,40.49,84210,0.325,131075,Labor Relations Specialists,4,60640-86950
Logisticians(131081),110,38.95,81010,35.04,72890,0.949,131081,Logisticians,4,60640-86950
Project Management Specialists(131082),820,48.42,100710,44.77,93110,7.311,131082,Project Management Specialists,5,88050-238990
Management Analysts(131111),700,50.71,105470,39.9,82990,6.209,131111,Management Analysts,4,60640-86950
"Meeting, Convention, and Event Planners(131121)",230,34.41,71570,29.22,60780,2.051,131121,"Meeting, Convention, and Event Planners",4,60640-86950
Fundraisers(131131),220,32.79,68210,29.78,61940,1.936,131131,Fundraisers,4,60640-86950
"Compensation, Benefits, and Job Analysis Specialists(131141)",130,36.78,76510,32.69,67990,1.161,131141,"Compensation, Benefits, and Job Analysis Specialists",4,60640-86950
Training and Development Specialists(131151),320,35.52,73880,32.6,67810,2.876,131151,Training and Development Specialists,4,60640-86950
Market Research Analysts and Marketing Specialists(131161),690,36.25,75400,32.66,67940,6.102,131161,Market Research Analysts and Marketing Specialists,4,60640-86950
"Business Operations Specialists, All Other(131199)",750,34.74,72250,30.41,63250,6.667,131199,"Business Operations Specialists, All Other",4,60640-86950
Accountants and Auditors(132011),1180,40.28,83780,37.9,78820,10.464,132011,Accountants and Auditors,4,60640-86950
