GEOID,locality,tract,tractnames,year,self_suff_wage,ssw_group,estimate,moe,total_families,percent
51003010100,Albemarle County,Census Tract 101,Free Union,2022,"~$60,000",above,1087,252.5014851441472,1297,83.81
51003010100,Albemarle County,Census Tract 101,Free Union,2022,"~$60,000",below,210,128.48735346328837,1297,16.19
51003010201,Albemarle County,Census Tract 102.01,Charlottesville-Albemarle Airport,2022,"~$60,000",above,1366,252.66182932924394,1572,86.9
51003010201,Albemarle County,Census Tract 102.01,Charlottesville-Albemarle Airport,2022,"~$60,000",below,206,97.91322688993556,1572,13.1
51003010202,Albemarle County,Census Tract 102.02,Earlysville,2022,"~$60,000",above,889,145.52662986546483,1028,86.48
51003010202,Albemarle County,Census Tract 102.02,Earlysville,2022,"~$60,000",below,139,132.860829441939,1028,13.52
51003010301,Albemarle County,Census Tract 103.01,Berkmar Drive,2022,"~$60,000",above,423,157.77515647274763,503,84.1
51003010301,Albemarle County,Census Tract 103.01,Berkmar Drive,2022,"~$60,000",below,80,67.80855403265875,503,15.9
51003010302,Albemarle County,Census Tract 103.02,Polo Grounds Road,2022,"~$60,000",above,313,102.49390225764652,349,89.68
51003010302,Albemarle County,Census Tract 103.02,Polo Grounds Road,2022,"~$60,000",below,36,64.20280367709809,349,10.32
51003010303,Albemarle County,Census Tract 103.03,Hollymead,2022,"~$60,000",above,1462,289.10378759193037,1528,95.68
51003010303,Albemarle County,Census Tract 103.03,Hollymead,2022,"~$60,000",below,66,74.70609078247904,1528,4.32
51003010401,Albemarle County,Census Tract 104.01,Stony Point-Keswick,2022,"~$60,000",above,1045,296.66647940069,1214,86.08
51003010401,Albemarle County,Census Tract 104.01,Stony Point-Keswick,2022,"~$60,000",below,169,92.71461589199407,1214,13.92
51003010402,Albemarle County,Census Tract 104.02,Village of Rivanna,2022,"~$60,000",above,943,178.37600735524944,1111,84.88
51003010402,Albemarle County,Census Tract 104.02,Village of Rivanna,2022,"~$60,000",below,168,83.24061508662703,1111,15.12
51003010501,Albemarle County,Census Tract 105.01,Darden-Key West,2022,"~$60,000",above,775,217.3062355294942,856,90.54
51003010501,Albemarle County,Census Tract 105.01,Darden-Key West,2022,"~$60,000",below,81,77.14920608794364,856,9.46
51003010502,Albemarle County,Census Tract 105.02,Pantops,2022,"~$60,000",above,499,160.49922118191103,676,73.82
51003010502,Albemarle County,Census Tract 105.02,Pantops,2022,"~$60,000",below,177,140.57738082636197,676,26.18
51003010602,Albemarle County,Census Tract 106.02,Dunlora-Stone Henge,2022,"~$60,000",above,969,197.56517911818366,1152,84.11
51003010602,Albemarle County,Census Tract 106.02,Dunlora-Stone Henge,2022,"~$60,000",below,183,92.80086206496145,1152,15.89
51003010603,Albemarle County,Census Tract 106.03,Branchland,2022,"~$60,000",above,241,155.30292978562898,305,79.02
51003010603,Albemarle County,Census Tract 106.03,Branchland,2022,"~$60,000",below,64,58.94913061275798,305,20.98
51003010604,Albemarle County,Census Tract 106.04,Woodbrook-Carrsbrook,2022,"~$60,000",above,885,215.37177159507232,1176,75.26
51003010604,Albemarle County,Census Tract 106.04,Woodbrook-Carrsbrook,2022,"~$60,000",below,291,114.74319151914854,1176,24.74
51003010701,Albemarle County,Census Tract 107.01,Hydraulic,2022,"~$60,000",above,311,130.11149065320865,606,51.32
51003010701,Albemarle County,Census Tract 107.01,Hydraulic,2022,"~$60,000",below,295,175.43374817862156,606,48.68
51003010702,Albemarle County,Census Tract 107.02,Commonwealth-Townwood-Berkmar,2022,"~$60,000",above,374,142.47806848775008,506,73.91
51003010702,Albemarle County,Census Tract 107.02,Commonwealth-Townwood-Berkmar,2022,"~$60,000",below,132,100.26464980241042,506,26.09
51003010801,Albemarle County,Census Tract 108.01,Barracks-Hessian Hills,2022,"~$60,000",above,684,198.55226012312224,844,81.04
51003010801,Albemarle County,Census Tract 108.01,Barracks-Hessian Hills,2022,"~$60,000",below,160,102.71319292087068,844,18.96
51003010802,Albemarle County,Census Tract 108.02,Albemarle High School,2022,"~$60,000",above,512,149.18109799837242,644,79.5
51003010802,Albemarle County,Census Tract 108.02,Albemarle High School,2022,"~$60,000",below,132,109.6904736064167,644,20.5
51003010901,Albemarle County,Census Tract 109.01,Old Ivy-Darden School (UVA),2022,"~$60,000",above,143,79.328431221095,197,72.59
51003010901,Albemarle County,Census Tract 109.01,Old Ivy-Darden School (UVA),2022,"~$60,000",below,54,34.14674215792775,197,27.41
51003010904,Albemarle County,Census Tract 109.04,Carr's Hill-McCormick Road (UVA),2022,"~$60,000",above,154,63.92182725798755,265,58.11
51003010904,Albemarle County,Census Tract 109.04,Carr's Hill-McCormick Road (UVA),2022,"~$60,000",below,111,67.27555276621665,265,41.89
51003011000,Albemarle County,Census Tract 110,Ivy,2022,"~$60,000",above,1707,275.9057810195357,1849,92.32
51003011000,Albemarle County,Census Tract 110,Ivy,2022,"~$60,000",below,142,93.71766108903914,1849,7.68
51003011101,Albemarle County,Census Tract 111.01,Crozet-Beaver Creek,2022,"~$60,000",above,561,220.87779426642234,731,76.74
51003011101,Albemarle County,Census Tract 111.01,Crozet-Beaver Creek,2022,"~$60,000",below,170,101.6366075781753,731,23.26
51003011102,Albemarle County,Census Tract 111.02,Western Ridge-Westhall,2022,"~$60,000",above,683,230.3323685459775,918,74.4
51003011102,Albemarle County,Census Tract 111.02,Western Ridge-Westhall,2022,"~$60,000",below,235,122.76400123814798,918,25.6
51003011103,Albemarle County,Census Tract 111.03,Old Trail,2022,"~$60,000",above,953,229.63449218268582,1064,89.57
51003011103,Albemarle County,Census Tract 111.03,Old Trail,2022,"~$60,000",below,111,76.19055059520177,1064,10.43
51003011201,Albemarle County,Census Tract 112.01,"Yancey Mills, Batesville",2022,"~$60,000",above,995,190.23669467271554,1218,81.69
51003011201,Albemarle County,Census Tract 112.01,"Yancey Mills, Batesville",2022,"~$60,000",below,223,136.93794214898952,1218,18.31
51003011202,Albemarle County,Census Tract 112.02,North Garden,2022,"~$60,000",above,1017,166.1324772583615,1160,87.67
51003011202,Albemarle County,Census Tract 112.02,North Garden,2022,"~$60,000",below,143,81.9084855189009,1160,12.33
51003011301,Albemarle County,Census Tract 113.01,"Monticello, Carters Mountain",2022,"~$60,000",above,1186,259.3106245413018,1521,77.98
51003011301,Albemarle County,Census Tract 113.01,"Monticello, Carters Mountain",2022,"~$60,000",below,335,134.49907062875937,1521,22.02
51003011302,Albemarle County,Census Tract 113.02,"Oak Hill, Southwood",2022,"~$60,000",above,424,185.5640051303054,835,50.78
51003011302,Albemarle County,Census Tract 113.02,"Oak Hill, Southwood",2022,"~$60,000",below,411,157.6927392114171,835,49.22
