GEOID,locality,year,group,ssw_group,estimate,moe,total_families,percent
51003,"Albemarle County, Virginia",2022,All Families,above,22321,1035.2420006935577,27331,81.67
51003,"Albemarle County, Virginia",2022,All Families,below,5010,550.1727001587774,27331,18.33
51003,"Albemarle County, Virginia",2022,All Families,poverty,995,192,27331,3.64
51003,"Albemarle County, Virginia",2022,Black,above,1126,249.55961211702507,2075,54.27
51003,"Albemarle County, Virginia",2022,Black,below,949,250.55737865806307,2075,45.73
51003,"Albemarle County, Virginia",2022,Black,poverty,248,113,2075,11.95
51003,"Albemarle County, Virginia",2022,Hispanic,above,1061,258.20728107472104,1509,70.31
51003,"Albemarle County, Virginia",2022,Hispanic,below,448,182.84419597023034,1509,29.69
51003,"Albemarle County, Virginia",2022,Hispanic,poverty,56,57,1509,3.71
51003,"Albemarle County, Virginia",2022,"White, Not Hispanic",above,18660,932.8499343409957,21943,85.04
51003,"Albemarle County, Virginia",2022,"White, Not Hispanic",below,3283,408.6624523980641,21943,14.96
51003,"Albemarle County, Virginia",2022,"White, Not Hispanic",poverty,603,163,21943,2.75
51029,"Buckingham County, Virginia",2022,All Families,above,2947,346.5486978766476,3975,74.14
51029,"Buckingham County, Virginia",2022,All Families,below,1028,207.8725571113224,3975,25.86
51029,"Buckingham County, Virginia",2022,All Families,poverty,426,126,3975,10.72
51029,"Buckingham County, Virginia",2022,Black,above,772,181.50482087261483,1258,61.37
51029,"Buckingham County, Virginia",2022,Black,below,486,159.16343801262903,1258,38.63
51029,"Buckingham County, Virginia",2022,Black,poverty,287,114,1258,22.81
51029,"Buckingham County, Virginia",2022,Hispanic,above,32,71.49825172687791,49,65.31
51029,"Buckingham County, Virginia",2022,Hispanic,below,17,53.422841556772326,49,34.69
51029,"Buckingham County, Virginia",2022,Hispanic,poverty,17,12,49,34.69
51029,"Buckingham County, Virginia",2022,"White, Not Hispanic",above,2086,283.5806763515455,2573,81.07
51029,"Buckingham County, Virginia",2022,"White, Not Hispanic",below,487,113.96929411029973,2573,18.93
51029,"Buckingham County, Virginia",2022,"White, Not Hispanic",poverty,92,42,2573,3.58
51065,"Fluvanna County, Virginia",2022,All Families,above,5853,570.7626476916653,7432,78.75
51065,"Fluvanna County, Virginia",2022,All Families,below,1579,304.80485560436864,7432,21.25
51065,"Fluvanna County, Virginia",2022,All Families,poverty,309,139,7432,4.16
51065,"Fluvanna County, Virginia",2022,Black,above,581,225.77865266672134,844,68.84
51065,"Fluvanna County, Virginia",2022,Black,below,263,126.65701717630967,844,31.16
51065,"Fluvanna County, Virginia",2022,Black,poverty,102,67,844,12.09
51065,"Fluvanna County, Virginia",2022,Hispanic,above,75,83.21658488546619,175,42.86
51065,"Fluvanna County, Virginia",2022,Hispanic,below,100,119.78731151503484,175,57.14
51065,"Fluvanna County, Virginia",2022,Hispanic,poverty,68,94,175,38.86
51065,"Fluvanna County, Virginia",2022,"White, Not Hispanic",above,4992,499.3936323182345,6165,80.97
51065,"Fluvanna County, Virginia",2022,"White, Not Hispanic",below,1173,270.20362691866296,6165,19.03
51065,"Fluvanna County, Virginia",2022,"White, Not Hispanic",poverty,130,76,6165,2.11
51079,"Greene County, Virginia",2022,All Families,above,4441,529.3222081114678,5753,77.19
51079,"Greene County, Virginia",2022,All Families,below,1312,264.8905434325657,5753,22.81
51079,"Greene County, Virginia",2022,All Families,poverty,506,176,5753,8.8
51079,"Greene County, Virginia",2022,Black,above,159,101.32620588969075,438,36.3
51079,"Greene County, Virginia",2022,Black,below,279,139.3341307792172,438,63.7
51079,"Greene County, Virginia",2022,Black,poverty,229,137,438,52.28
51079,"Greene County, Virginia",2022,Hispanic,above,164,102.00980345045274,188,87.23
51079,"Greene County, Virginia",2022,Hispanic,below,24,70.32069396699666,188,12.77
51079,"Greene County, Virginia",2022,Hispanic,poverty,18,21,188,9.57
51079,"Greene County, Virginia",2022,"White, Not Hispanic",above,3983,496.58433322045107,4890,81.45
51079,"Greene County, Virginia",2022,"White, Not Hispanic",below,907,220.86873930006482,4890,18.55
