GEOID,locality,label,group,estimate,moe,total_families,percent,year
51003,"Albemarle County, Virginia",Income below poverty level,All Families,995,192,27331,3.64,2022
51003,"Albemarle County, Virginia",Income in the past 12 months at or above poverty level,All Families,26336,785,27331,96.36,2022
51029,"Buckingham County, Virginia",Income below poverty level,All Families,426,126,3975,10.72,2022
51029,"Buckingham County, Virginia",Income in the past 12 months at or above poverty level,All Families,3549,269,3975,89.28,2022
51065,"Fluvanna County, Virginia",Income below poverty level,All Families,309,139,7432,4.16,2022
51065,"Fluvanna County, Virginia",Income in the past 12 months at or above poverty level,All Families,7123,353,7432,95.84,2022
51079,"Greene County, Virginia",Income below poverty level,All Families,506,176,5753,8.8,2022
51079,"Greene County, Virginia",Income in the past 12 months at or above poverty level,All Families,5247,310,5753,91.2,2022
51109,"Louisa County, Virginia",Income below poverty level,All Families,742,216,10554,7.03,2022
51109,"Louisa County, Virginia",Income in the past 12 months at or above poverty level,All Families,9812,471,10554,92.97,2022
51125,"Nelson County, Virginia",Income below poverty level,All Families,358,160,3915,9.14,2022
51125,"Nelson County, Virginia",Income in the past 12 months at or above poverty level,All Families,3557,304,3915,90.86,2022
51540,"Charlottesville city, Virginia",Income below poverty level,All Families,868,238,8805,9.86,2022
51540,"Charlottesville city, Virginia",Income in the past 12 months at or above poverty level,All Families,7937,511,8805,90.14,2022
